trial	oldnew	fixation	x	y	duration	aoi	imnumber	image
14	1	7	417.2	492.7	786	31	1	testcity01.jpg
14	1	8	437.5	390.9	429	29	1	testcity01.jpg
14	1	9	271.6	470.2	181	21	1	testcity01.jpg
14	1	10	465.4	188.5	305	26	1	testcity01.jpg
14	1	11	793.2	162.1	848	50	1	testcity01.jpg
14	1	12	253.9	597.6	150	16	1	testcity01.jpg
14	1	13	170.2	625.5	801	16	1	testcity01.jpg
14	1	14	340.7	597.9	218	24	1	testcity01.jpg
14	1	15	484.9	436.8	163	29	1	testcity01.jpg
14	1	16	543.3	290.1	374	36	1	testcity01.jpg
14	1	17	464.2	384.3	491	29	1	testcity01.jpg
14	1	18	245.6	331.3	274	12	1	testcity01.jpg
15	1	1	503.2	382.6	1418	28	2	testcity03.jpg
15	1	2	483.2	361	158	28	2	testcity03.jpg
15	1	3	564	377.8	419	36	2	testcity03.jpg
15	1	4	477.4	398.8	36	29	2	testcity03.jpg
15	1	5	458.8	456.5	693	29	2	testcity03.jpg
15	1	6	499.2	450.9	31	29	2	testcity03.jpg
15	1	7	497.5	469	570	29	2	testcity03.jpg
15	1	8	523.4	407.5	266	37	2	testcity03.jpg
15	1	9	275.9	412.1	909	21	2	testcity03.jpg
15	1	10	468.3	378.7	327	28	2	testcity03.jpg
15	1	11	585.5	323.3	304	36	2	testcity03.jpg
15	1	12	644.8	296	541	44	2	testcity03.jpg
15	1	13	297.7	302	450	20	2	testcity03.jpg
15	1	14	303.2	485.6	1312	23	2	testcity03.jpg
15	1	15	318.7	527.4	153	23	2	testcity03.jpg
15	1	16	549.5	509.7	204	39	2	testcity03.jpg
15	1	17	672.1	295.4	190	44	2	testcity03.jpg
15	1	18	381.5	254.3	918	19	2	testcity03.jpg
28	2	1	510	388.7	217	29	4	testcity02.jpg
28	2	2	532.1	494.1	156	39	4	testcity02.jpg
28	2	3	412.2	585.3	203	32	4	testcity02.jpg
28	2	4	358.3	493.1	425	23	4	testcity02.jpg
28	2	5	373.9	483.9	172	23	4	testcity02.jpg
28	2	6	470	327	264	28	4	testcity02.jpg
28	2	7	535.3	304.2	122	36	4	testcity02.jpg
28	2	8	576.2	627.7	515	40	4	testcity02.jpg
28	2	9	386.7	476.6	606	29	4	testcity02.jpg
28	2	10	232	464.4	319	13	4	testcity02.jpg
28	2	11	323.6	568.4	323	23	4	testcity02.jpg
28	2	12	394.4	362.5	260	28	4	testcity02.jpg
28	2	13	478.4	311.2	404	28	4	testcity02.jpg
28	2	14	548.2	345.7	423	36	4	testcity02.jpg
28	2	15	669.9	652.5	329	48	4	testcity02.jpg
28	2	16	420	547.1	847	31	4	testcity02.jpg
28	2	17	408.2	377.1	1144	28	4	testcity02.jpg
28	2	18	413.1	453.3	630	29	4	testcity02.jpg
28	2	19	396.3	418.9	1001	29	4	testcity02.jpg
28	2	20	450.5	397.7	660	29	4	testcity02.jpg
30	2	1	524.3	390.2	331	37	5	testcity04.jpg
30	2	2	534.2	425.4	234	37	5	testcity04.jpg
30	2	3	558.4	375.4	969	36	5	testcity04.jpg
30	2	4	550.2	404.1	1026	37	5	testcity04.jpg
30	2	5	488.3	392.1	233	29	5	testcity04.jpg
30	2	6	401.2	380.7	311	28	5	testcity04.jpg
30	2	7	426.1	411.4	259	29	5	testcity04.jpg
30	2	8	210.8	458.4	432	13	5	testcity04.jpg
30	2	9	491.2	424.4	420	29	5	testcity04.jpg
30	2	10	567	413.6	734	37	5	testcity04.jpg
30	2	11	556.1	409.5	1861	37	5	testcity04.jpg
30	2	12	496.9	385.5	472	29	5	testcity04.jpg
30	2	13	512	414.7	1736	37	5	testcity04.jpg
32	2	1	522	384.9	207	37	3	testcity05.jpg
32	2	2	495.2	467.8	126	29	3	testcity05.jpg
32	2	3	367.6	573.9	211	23	3	testcity05.jpg
32	2	4	284.3	615.6	221	24	3	testcity05.jpg
32	2	5	440.9	550	203	31	3	testcity05.jpg
32	2	6	509.5	446.6	314	29	3	testcity05.jpg
32	2	7	443.9	667.2	306	32	3	testcity05.jpg
32	2	8	242.6	628.6	984	16	3	testcity05.jpg
32	2	9	436.4	508	327	31	3	testcity05.jpg
32	2	10	525.7	466.6	198	37	3	testcity05.jpg
32	2	11	547.4	399.7	600	37	3	testcity05.jpg
32	2	12	516	571.1	240	39	3	testcity05.jpg
32	2	13	236.4	619.8	380	16	3	testcity05.jpg
32	2	14	240.7	584.5	232	16	3	testcity05.jpg
32	2	15	401	564.5	424	31	3	testcity05.jpg
32	2	16	382.7	597.9	221	24	3	testcity05.jpg
32	2	17	245.6	610.1	312	16	3	testcity05.jpg
